Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Salary,Chrome 131.0.0.0,,,26-12-2024 15:01:53,26-12-2024 15:03:13,1m - 20.236s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Login,Chrome 131.0.0.0,,,26-12-2024 15:01:53,26-12-2024 15:02:07,14.340s,PASSED
"comment(""Step 1: Open a new browser instance"")",Chrome 131.0.0.0,,,26-12-2024 15:01:53,26-12-2024 15:01:53,0.031s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,26-12-2024 15:01:53,26-12-2024 15:01:55,1.519s,PASSED
"comment(""Step 2: Navigate to the OrangeHRM login page"")",Chrome 131.0.0.0,,,26-12-2024 15:01:55,26-12-2024 15:01:55,0.002s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,26-12-2024 15:01:55,26-12-2024 15:02:04,9.071s,PASSED
"comment(""Step 3: Enter the username into the username input field"")",Chrome 131.0.0.0,,,26-12-2024 15:02:04,26-12-2024 15:02:04,0.004s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Username_username""), Username)",Chrome 131.0.0.0,,,26-12-2024 15:02:04,26-12-2024 15:02:05,1.517s,PASSED
"comment(""Step 4: Enter the encrypted password into the password input field"")",Chrome 131.0.0.0,,,26-12-2024 15:02:05,26-12-2024 15:02:05,0.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Password_password""), Password)",Chrome 131.0.0.0,,,26-12-2024 15:02:05,26-12-2024 15:02:06,0.274s,PASSED
"comment(""Step 5: Click the login button to submit the login form"")",Chrome 131.0.0.0,,,26-12-2024 15:02:06,26-12-2024 15:02:06,0.001s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/button_Login""))",Chrome 131.0.0.0,,,26-12-2024 15:02:06,26-12-2024 15:02:07,1.765s,PASSED
Start tear down : tearDownTestCase,Chrome 131.0.0.0,,,26-12-2024 15:02:07,26-12-2024 15:02:07,0.025s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/Salary_2,Chrome 131.0.0.0,,,26-12-2024 15:02:07,26-12-2024 15:02:32,24.070s,PASSED
