Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Employee_Contact_Details,Chrome 131.0.0.0,,,27-12-2024 09:03:00,27-12-2024 09:03:57,56.970s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Login,Chrome 131.0.0.0,,,27-12-2024 09:03:00,27-12-2024 09:03:19,19.132s,PASSED
"comment(""Step 1: Open a new browser instance"")",Chrome 131.0.0.0,,,27-12-2024 09:03:00,27-12-2024 09:03:00,0.035s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,27-12-2024 09:03:00,27-12-2024 09:03:02,1.730s,PASSED
"comment(""Step 2: Navigate to the OrangeHRM login page"")",Chrome 131.0.0.0,,,27-12-2024 09:03:02,27-12-2024 09:03:02,0.002s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,27-12-2024 09:03:02,27-12-2024 09:03:15,13.759s,PASSED
"comment(""Step 3: Enter the username into the username input field"")",Chrome 131.0.0.0,,,27-12-2024 09:03:15,27-12-2024 09:03:15,0.003s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Username_username""), Username)",Chrome 131.0.0.0,,,27-12-2024 09:03:15,27-12-2024 09:03:17,1.529s,PASSED
"comment(""Step 4: Enter the encrypted password into the password input field"")",Chrome 131.0.0.0,,,27-12-2024 09:03:17,27-12-2024 09:03:17,0.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Password_password""), Password)",Chrome 131.0.0.0,,,27-12-2024 09:03:17,27-12-2024 09:03:17,0.275s,PASSED
"comment(""Step 5: Click the login button to submit the login form"")",Chrome 131.0.0.0,,,27-12-2024 09:03:17,27-12-2024 09:03:17,0.002s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/button_Login""))",Chrome 131.0.0.0,,,27-12-2024 09:03:17,27-12-2024 09:03:19,1.672s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Contact_Details,Chrome 131.0.0.0,,,27-12-2024 09:03:19,27-12-2024 09:03:39,20.150s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Contact_Details/Page_OrangeHRM/a_PIM""))",Chrome 131.0.0.0,,,27-12-2024 09:03:19,27-12-2024 09:03:22,3.392s,PASSED
