Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Employee_Person_Details,Chrome 131.0.0.0,,,26-12-2024 18:17:54,26-12-2024 18:18:19,25.168s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Login,Chrome 131.0.0.0,,,26-12-2024 18:17:54,26-12-2024 18:18:02,8.177s,PASSED
"comment(""Step 1: Open a new browser instance"")",Chrome 131.0.0.0,,,26-12-2024 18:17:54,26-12-2024 18:17:54,0.023s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,26-12-2024 18:17:54,26-12-2024 18:17:55,1.417s,PASSED
"comment(""Step 2: Navigate to the OrangeHRM login page"")",Chrome 131.0.0.0,,,26-12-2024 18:17:55,26-12-2024 18:17:55,0.004s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,26-12-2024 18:17:55,26-12-2024 18:17:59,3.677s,PASSED
"comment(""Step 3: Enter the username into the username input field"")",Chrome 131.0.0.0,,,26-12-2024 18:17:59,26-12-2024 18:17:59,0.003s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Username_username""), Username)",Chrome 131.0.0.0,,,26-12-2024 18:17:59,26-12-2024 18:18:00,1.194s,PASSED
"comment(""Step 4: Enter the encrypted password into the password input field"")",Chrome 131.0.0.0,,,26-12-2024 18:18:00,26-12-2024 18:18:00,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/input_Password_password""), Password)",Chrome 131.0.0.0,,,26-12-2024 18:18:00,26-12-2024 18:18:00,0.274s,PASSED
"comment(""Step 5: Click the login button to submit the login form"")",Chrome 131.0.0.0,,,26-12-2024 18:18:00,26-12-2024 18:18:00,0.002s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Page_OrangeHRM/button_Login""))",Chrome 131.0.0.0,,,26-12-2024 18:18:00,26-12-2024 18:18:02,1.497s,PASSED
,,,,,,,
Test Cases/Employee_Onboarding/TC_Employee_Person_Details,Chrome 131.0.0.0,,,26-12-2024 18:18:02,26-12-2024 18:18:19,16.937s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/span_PIM""))",Chrome 131.0.0.0,,,26-12-2024 18:18:02,26-12-2024 18:18:05,3.458s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input""), ""Alice Johnson"")",Chrome 131.0.0.0,,,26-12-2024 18:18:05,26-12-2024 18:18:07,1.977s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/button_Search""))",Chrome 131.0.0.0,,,26-12-2024 18:18:07,26-12-2024 18:18:08,0.472s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/div_0034008""))",Chrome 131.0.0.0,,,26-12-2024 18:18:08,26-12-2024 18:18:09,1.513s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/a_Personal Details""))",Chrome 131.0.0.0,,,26-12-2024 18:18:09,26-12-2024 18:18:12,2.940s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input_concat(Driver, , s License Number)_ox_6ab805""), ""ADFRGSWR231SDE"")",Chrome 131.0.0.0,,,26-12-2024 18:18:12,26-12-2024 18:18:15,2.766s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input_License Expiry Date_oxd-input oxd-inp_5d7d79""), ""2026-12-10"")",Chrome 131.0.0.0,,,26-12-2024 18:18:15,26-12-2024 18:18:16,0.517s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/div_-- Select --""))",Chrome 131.0.0.0,,,26-12-2024 18:18:16,26-12-2024 18:18:16,0.279s,PASSED
"click(findTestObject(""Employee-Onboarding/Employee_Salary_Detail_Objects/Page_OrangeHRM/custom_object_for_dropdown"", [""value"":""American""]))",Chrome 131.0.0.0,,,26-12-2024 18:18:16,26-12-2024 18:18:16,0.473s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/div_-- Select --_1""))",Chrome 131.0.0.0,,,26-12-2024 18:18:16,26-12-2024 18:18:17,0.471s,PASSED
"click(findTestObject(""Employee-Onboarding/Employee_Salary_Detail_Objects/Page_OrangeHRM/custom_object_for_dropdown"", [""value"":""Married""]))",Chrome 131.0.0.0,,,26-12-2024 18:18:17,26-12-2024 18:18:17,0.469s,PASSED
"setText(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/input_Date of Birth_oxd-input oxd-input--focus""), ""1990-02-12"")",Chrome 131.0.0.0,,,26-12-2024 18:18:17,26-12-2024 18:18:18,0.711s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/span_Male_oxd-radio-input oxd-radio-input--_b0de6e""))",Chrome 131.0.0.0,,,26-12-2024 18:18:18,26-12-2024 18:18:18,0.268s,PASSED
"click(findTestObject(""Object Repository/Employee-Onboarding/Employee_Personal_Details_Objects/Page_OrangeHRM/button_Save""))",Chrome 131.0.0.0,,,26-12-2024 18:18:18,26-12-2024 18:18:19,0.469s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,26-12-2024 18:18:19,26-12-2024 18:18:19,0.126s,PASSED
